"Abbey","ArchitecturalStructure Building Location Monastery Place ReligiousBuilding"
"CultivatedVariety","Eukaryote Plant Species"
"Curler","Athlete Person WinterSportPlayer"
"CurlingLeague","Organisation SportsLeague"
"Currency",""
"Cycad","Eukaryote Plant Species"
"CyclingCompetition","Event PenaltyShootOut SocietalEvent SportsEvent"
"CyclingLeague","Organisation SportsLeague"
"CyclingRace","Event PenaltyShootOut Race SocietalEvent SportsEvent"
"CyclingTeam","Organisation SportsTeam"
"Cyclist","Athlete Person"
"DTMRacer","Athlete MotorsportRacer Person RacingDriver"
"Dam","ArchitecturalStructure Infrastructure Location Place"
"Dancer","Artist Person"
"DartsPlayer","Athlete Person"
"Database","Work"
"Deanery","AdministrativeRegion ClericalAdministrativeRegion Location Place PopulatedPlace Region"
"Death","Event LifeCycleEvent PenaltyShootOut PersonalEvent"
"Decoration","Award"
"Deity",""
"Demographics",""
"Department","AdministrativeRegion GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"Depth",""
"Deputy","Person Politician"
"Desert","Location NaturalPlace Place"
"Device",""
"DigitalCamera","Camera Device"
"Dike","ArchitecturalStructure Infrastructure Location Place"
"Diocese","AdministrativeRegion ClericalAdministrativeRegion Location Place PopulatedPlace Region"
"Diploma",""
"Disease",""
"DisneyCharacter","FictionalCharacter Person"
"District","AdministrativeRegion GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"DistrictWaterBoard","AdministrativeRegion GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"Divorce","Event LifeCycleEvent PenaltyShootOut PersonalEvent"
"Document","Work"
"DocumentType","Genre GovernmentType MusicGenre TopicalConcept Type"
"Dog","Animal Eukaryote Mammal Species"
"Drama","Work WrittenWork"
"Drug","ChemicalSubstance"
"Earthquake","Event NaturalEvent PenaltyShootOut"
"Economist","Person"
"EducationalInstitution","Organisation"
"Egyptologist","Person"
"Election","Event PenaltyShootOut SocietalEvent"
"ElectionDiagram",""
"ElectricalSubstation","ArchitecturalStructure Infrastructure Location Place Station"
"Embryology","AnatomicalStructure"
"Employer",""
"EmployersOrganisation","Organisation"
"Engine","Device"
"Engineer","Person"
"Entomologist","Person Scientist"
"Enzyme","Biomolecule Hormone"
"Escalator","MeanOfTransportation On-SiteTransportation"
"EthnicGroup",""
"Eukaryote","Species"
"EurovisionSongContestEntry","MusicalWork Song Work"
"Event","PenaltyShootOut"
"Factory","ArchitecturalStructure Building Location Place"
"Family",""
"Farmer","Person"
"Fashion","Genre GovernmentType MusicGenre TopicalConcept Type"
"FashionDesigner","Artist Person"
"Fencer","Athlete Person"
"Fern","Eukaryote Plant Species"
"FictionalCharacter","Person"
"Fiefdom","AdministrativeRegion HistoricalAreaOfAuthority Location Place PopulatedPlace Region"
"FieldHockeyLeague","Organisation SportsLeague"
"FigureSkater","Athlete Person WinterSportPlayer"
"File","Document Work"
"FillingStation","ArchitecturalStructure Infrastructure Location Place Station"
"Film","Wikidata:Q11424 Work"
"FilmFestival","Event MusicFestival PenaltyShootOut SocietalEvent"
"Fish","Animal Eukaryote Species"
"Flag",""
"FloweringPlant","Eukaryote Plant Species"
"Food",""
"FootballLeagueSeason","SportsSeason SportsTeamSeason"
"FootballMatch","Event PenaltyShootOut SocietalEvent SportsEvent"
"Forest","Location NaturalPlace Place"
"FormerMunicipality","AdministrativeRegion GovernmentalAdministrativeRegion Location Municipality Place PopulatedPlace Region"
"FormulaOneRacer","Athlete MotorsportRacer Person RacingDriver"
"FormulaOneRacing","Organisation SportsLeague"
"FormulaOneTeam","Organisation SportsTeam"
"Fort","ArchitecturalStructure Location MilitaryStructure Place"
"Fungus","Eukaryote Species"
"GaelicGamesPlayer","Athlete Person"
"Galaxy","CelestialBody Location Place"
"Game","Activity"
"Garden","Location Place"
"Gate","ArchitecturalStructure Location Place"
"GatedCommunity","Location Place PopulatedPlace"
"Gene","Biomolecule"
"GeneLocation",""
"Genre","GovernmentType MusicGenre TopicalConcept Type"
"GeologicalPeriod","TimePeriod"
"GeopoliticalOrganisation","Organisation"
"Ginkgo","Eukaryote Plant Species"
"GivenName","Name"
"Glacier","Location NaturalPlace Place"
"Globularswarm","CelestialBody Location Place Swarm"
"Gnetophytes","Eukaryote Plant Species"
"GolfCourse","ArchitecturalStructure Location Place SportFacility"
"GolfLeague","Organisation SportsLeague"
"GolfPlayer","Athlete Person"
"GolfTournament","Event PenaltyShootOut SocietalEvent SportsEvent Tournament"
"GovernmentAgency","Organisation"
"GovernmentCabinet","GovernmentAgency Organisation"
"GovernmentType","Genre MusicGenre TopicalConcept Type"
"GovernmentalAdministrativeRegion","AdministrativeRegion Location Place PopulatedPlace Region"
"Governor","Person Politician"
"GrandPrix","Event PenaltyShootOut SocietalEvent SportsEvent"
"Grape","Eukaryote FloweringPlant Plant Species"
"GraveMonument","Location Monument Place"
"GreenAlga","Eukaryote Plant Species"
"GridironFootballPlayer","AmericanFootballPlayer Athlete Person"
"GrossDomesticProduct",""
"GrossDomesticProductPerCapita",""
"Group","Organisation"
"Guitar","Aircraft Automobile Device Instrument Locomotive MeanOfTransportation MilitaryVehicle Ship"
"Guitarist","Artist Instrumentalist MusicalArtist Person"
"Gymnast","Athlete Person"
"HandballLeague","Organisation SportsLeague"
"HandballPlayer","Athlete Person"
"HandballTeam","Organisation SportsTeam"
"HighDiver","Athlete Person"
"Historian","Person Writer"
"HistoricBuilding","ArchitecturalStructure Building HistoricPlace Location Place"
"HistoricPlace","ArchitecturalStructure Building HistoricBuilding Location Place"
"HistoricalAreaOfAuthority","AdministrativeRegion Location Place PopulatedPlace Region"
"HistoricalCountry","Country Location Place PopulatedPlace"
"HistoricalDistrict","AdministrativeRegion District GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"HistoricalPeriod","TimePeriod"
"HistoricalProvince","AdministrativeRegion GovernmentalAdministrativeRegion Location Place PopulatedPlace Province Region"
"HistoricalRegion","AdministrativeRegion Location Place PopulatedPlace Region"
"HistoricalSettlement","Location Place PopulatedPlace Settlement"
"HockeyClub","Organisation SportsClub"
"HockeyTeam","Organisation SportsTeam"
"Holiday","TimePeriod Year"
"HollywoodCartoon","Cartoon Work"
"Hormone","Biomolecule Enzyme"
"Horse","Animal Eukaryote Mammal Species"
"HorseRace","Event PenaltyShootOut Race SocietalEvent SportsEvent"
"HorseRider","Athlete Person"
"HorseRiding","Activity Sport"
"HorseTrainer","Person"
"Hospital","ArchitecturalStructure Building Location Place"
"Host","Person TelevisionPersonality"
"HotSpring","Location NaturalPlace Place"
"Hotel","ArchitecturalStructure Building Location Place"
"HumanDevelopmentIndex",""
"HumanGene","Biomolecule Gene"
"HumanGeneLocation","GeneLocation"
"Humorist","Artist Person"
"IceHockeyLeague","Organisation SportsLeague"
"IceHockeyPlayer","Athlete Person WinterSportPlayer"
"Ideology","Genre GovernmentType MusicGenre TopicalConcept Type"
"Image","Document Work"
"InformationAppliance","Device"
"Infrastructure","ArchitecturalStructure Location Place"
"InlineHockeyLeague","Organisation SportsLeague"
"Insect","Animal Eukaryote Species"
"Instrument","Aircraft Automobile Device Locomotive MeanOfTransportation MilitaryVehicle Ship"
"Instrumentalist","Artist MusicalArtist Person"
"Intercommunality","Location Place PopulatedPlace"
"InternationalFootballLeagueEvent","Event PenaltyShootOut SocietalEvent SportsEvent"
"InternationalOrganisation","Organisation"
"Island","Location Place PopulatedPlace"
"Jockey","Athlete Person"
"Journalist","Person"
"Judge","Person"
"LacrosseLeague","Organisation SportsLeague"
"LacrossePlayer","Athlete Person"
"Lake","BodyOfWater Location NaturalPlace Place"
"Language",""
"LaunchPad","ArchitecturalStructure Infrastructure Location Place"
"Law","Work WrittenWork"
"LawFirm","Company Organisation"
"Lawyer","Person"
"LegalCase","Activity Case Sales UnitOfWork"
"Legislature","Organisation"
"Letter","Work WrittenWork"
"Library","ArchitecturalStructure Building EducationalInstitution Location Organisation Place"
"Lieutenant","Person Politician"
"LifeCycleEvent","Event PenaltyShootOut"
"Ligament","AnatomicalStructure"
"LightNovel","Book Novel Work WrittenWork"
"Lighthouse","ArchitecturalStructure Location Place Tower"
"LineOfFashion","Work"
"Linguist","Person"
"Lipid","Biomolecule"
"List",""
"LiteraryGenre","Genre GovernmentType MusicGenre TopicalConcept Type"
"Locality","Location Place PopulatedPlace"
"Lock","ArchitecturalStructure Infrastructure Location Place"
"Locomotive","Aircraft Automobile MeanOfTransportation MilitaryVehicle Ship"
"LunarCrater","Crater Location NaturalPlace Place"
"Lymph","AnatomicalStructure"
"Magazine","PeriodicalLiterature Work WrittenWork"
"Mammal","Animal Eukaryote Species"
"Manga","Comic Work WrittenWork"
"Manhua","Comic Work WrittenWork"
"Manhwa","Comic Work WrittenWork"
"Marriage","Event LifeCycleEvent PenaltyShootOut PersonalEvent"
"MartialArtist","Athlete Person"
"MathematicalConcept","Genre GovernmentType MusicGenre TopicalConcept Type"
"Mayor","Person Politician"
"MeanOfTransportation",""
"Media",""
"Medician","Person Scientist"
"Medicine",""
"Meeting","Event PenaltyShootOut SocietalEvent"
"MemberOfParliament","Person Politician"
"MemberResistanceMovement","Person"
"Memorial","Location Monument Place"
"MetroStation","ArchitecturalStructure Infrastructure Location Place Station"
"MicroRegion","AdministrativeRegion GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"MilitaryAircraft","Aircraft Automobile Locomotive MeanOfTransportation MilitaryVehicle Ship"
"MilitaryConflict","Event PenaltyShootOut SocietalEvent"
"MilitaryPerson","Person"
"MilitaryStructure","ArchitecturalStructure Location Place"
"MilitaryUnit","Organisation"
"MilitaryVehicle","Aircraft Automobile Locomotive MeanOfTransportation Ship"
"Mill","ArchitecturalStructure Location Place"
"Mine","Location Place"
"Mineral","ChemicalSubstance"
"MixedMartialArtsEvent","Event PenaltyShootOut SocietalEvent SportsEvent"
"MixedMartialArtsLeague","Organisation SportsLeague"
"MobilePhone","Device"
"Model","Person"
"Mollusca","Animal Eukaryote Species"
"Monarch","Person"
"Monastery","Abbey ArchitecturalStructure Building Location Place ReligiousBuilding"
"Monument","Location Place"
"Mosque","ArchitecturalStructure Building Location Place ReligiousBuilding"
"Moss","Eukaryote Plant Species"
"MotocycleRacer","Athlete MotorcycleRider MotorsportRacer Person"
"MotorRace","Event PenaltyShootOut Race SocietalEvent SportsEvent"
"Motorcycle","MeanOfTransportation"
"MotorcycleRacingLeague","Organisation SportsLeague"
"MotorcycleRider","Athlete MotorsportRacer Person"
"MotorsportRacer","Athlete Person"
"MotorsportSeason","SportsSeason"
"Mountain","Location NaturalPlace Place"
"MountainPass","Location NaturalPlace Place"
"MountainRange","Location NaturalPlace Place"
"MouseGene","Biomolecule Gene"
"MouseGeneLocation","GeneLocation"
"MovieDirector","Person"
"MovieGenre","Genre GovernmentType MusicGenre TopicalConcept Type"
"MovingImage","Document Image Work"
"MovingWalkway","MeanOfTransportation On-SiteTransportation"
"MultiVolumePublication","Work WrittenWork"
"Municipality","AdministrativeRegion GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"Murderer","Criminal Person"
"Muscle","AnatomicalStructure"
"Museum","ArchitecturalStructure Building Location Place"
"MusicComposer","Person Writer"
"MusicDirector","Artist MusicalArtist Person"
"MusicFestival","Event PenaltyShootOut SocietalEvent"
"MusicGenre","Genre GovernmentType TopicalConcept Type"
"Musical","MusicalWork Work"
"MusicalArtist","Artist Person"
"MusicalWork","Work"
"MythologicalFigure","FictionalCharacter Person"
"NCAATeamSeason","SportsSeason SportsTeamSeason"
"Name",""
"NarutoCharacter","FictionalCharacter Person"
"NascarDriver","Athlete MotorsportRacer Person RacingDriver"
"NationalAnthem","MusicalWork Work"
"NationalCollegiateAthleticAssociationAthlete","Athlete Person"
"NationalFootballLeagueEvent","Event PenaltyShootOut SocietalEvent SportsEvent"
"NationalFootballLeagueSeason","FootballLeagueSeason SportsSeason SportsTeamSeason"
"NationalSoccerClub","Organisation SoccerClub SportsTeam"
"NaturalEvent","Event PenaltyShootOut"
"NaturalPlace","Location Place"
"NaturalRegion","AdministrativeRegion Location Place PopulatedPlace Region"
"Nerve","AnatomicalStructure"
"NetballPlayer","Athlete Person"
"Newspaper","PeriodicalLiterature Work WrittenWork"
"NobelPrize","Award"
"Noble","Person"
"NobleFamily","Family"
"Non-ProfitOrganisation","Organisation"
"NordicCombined","Athlete Person WinterSportPlayer"
"Novel","Book Work WrittenWork"
"NuclearPowerStation","ArchitecturalStructure Infrastructure Location Place PowerStation"
"Ocean","BodyOfWater Location NaturalPlace Place"
"OfficeHolder","Person"
"OldTerritory","Location Place PopulatedPlace Territory"
"OlympicEvent","Event Olympics PenaltyShootOut SocietalEvent SportsEvent"
"OlympicResult","SportCompetitionResult"
"Olympics","Event PenaltyShootOut SocietalEvent SportsEvent"
"On-SiteTransportation","MeanOfTransportation"
"Openswarm","CelestialBody Location Place Swarm"
"Opera","MusicalWork Work"
"Organ","Aircraft Automobile Device Instrument Locomotive MeanOfTransportation MilitaryVehicle Ship"
"Organisation",""
"OrganisationMember","Person"
"Orphan","Person"
"OverseasDepartment","AdministrativeRegion Department GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"PaintballLeague","Organisation SportsLeague"
"Painter","Artist Person"
"Painting","Artwork Work"
"Parish","AdministrativeRegion ClericalAdministrativeRegion Location Place PopulatedPlace Region"
"Park","Location Place"
"Parliament","Organisation"
"PenaltyShootOut","Event"
"PeriodOfArtisticStyle","TimePeriod"
"PeriodicalLiterature","Work WrittenWork"
"Person",""
"PersonFunction",""
"PersonalEvent","Event LifeCycleEvent PenaltyShootOut"
"Philosopher","Person"
"PhilosophicalConcept","Genre GovernmentType MusicGenre TopicalConcept Type"
"Photographer","Artist Person"
"Place","Location"
"Planet","CelestialBody Location Place"
"Plant","Eukaryote Species"
"Play","Work WrittenWork"
"PlayWright","Person Writer"
"PlayboyPlaymate","Person"
"Poem","Work WrittenWork"
"Poet","Person Writer"
"PokerPlayer","Athlete Person"
"PoliticalConcept","Genre GovernmentType MusicGenre TopicalConcept Type"
"PoliticalFunction","PersonFunction"
"PoliticalParty","Organisation"
"Politician","Person"
"PoliticianSpouse","Person"
"PoloLeague","Organisation SportsLeague"
"Polyhedron",""
"Polysaccharide","Biomolecule"
"Pope","Cleric Person"
"PopulatedPlace","Location Place"
"Population",""
"Port","ArchitecturalStructure Infrastructure Location Place"
"PowerStation","ArchitecturalStructure Infrastructure Location Place"
"Prefecture","AdministrativeRegion GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"PrehistoricalPeriod","TimePeriod"
"Presenter","Person"
"President","Person Politician"
"Priest","Cleric Person"
"PrimeMinister","Person Politician"
"Prison","ArchitecturalStructure Building Location Place"
"Producer","Person"
"Profession","PersonFunction"
"Professor","Person Scientist"
"ProgrammingLanguage","Language"
"Project","Activity Case LegalCase Sales UnitOfWork"
"ProtectedArea","Location Place"
"Protein","Biomolecule"
"ProtohistoricalPeriod","TimePeriod"
"Province","AdministrativeRegion GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"Psychologist","Person"
"PublicService",""
"PublicTransitSystem","Organisation"
"Publisher","Company Organisation"
"Pyramid","ArchitecturalStructure Location Place"
"Quote","Work WrittenWork"
"Race","Event PenaltyShootOut SocietalEvent SportsEvent"
"RaceHorse","Animal Eukaryote Horse Mammal Species"
"RaceTrack","ArchitecturalStructure Location Place Racecourse SportFacility"
"Racecourse","ArchitecturalStructure Location Place RaceTrack SportFacility"
"RacingDriver","Athlete MotorsportRacer Person"
"RadioControlledRacingLeague","Organisation SportsLeague"
"RadioHost","Person Presenter"
"RadioProgram","Work"
"RadioStation","Broadcaster Organisation"
"RailwayLine","ArchitecturalStructure Infrastructure Location Place RouteOfTransportation"
"RailwayStation","ArchitecturalStructure Infrastructure Location Place Station"
"RailwayTunnel","ArchitecturalStructure Infrastructure Location Place RouteOfTransportation"
"RallyDriver","Athlete MotorsportRacer Person RacingDriver"
"Ratio","Relationship"
"Rebellion","Event PenaltyShootOut SocietalEvent"
"RecordLabel","Company Organisation"
"RecordOffice","Non-ProfitOrganisation Organisation"
"Referee","Person"
"Reference","Annotation Work WrittenWork"
"Regency","AdministrativeRegion GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"Region","AdministrativeRegion Location Place PopulatedPlace"
"Relationship",""
"Religious","Person"
"ReligiousBuilding","ArchitecturalStructure Building Location Place"
"ReligiousOrganisation","Organisation"
"Reptile","Animal Eukaryote Species"
"ResearchProject","Activity Case LegalCase Project Sales UnitOfWork"
"RestArea","ArchitecturalStructure Infrastructure Location Place"
"Restaurant","ArchitecturalStructure Building Location Place"
"Resume","Work WrittenWork"
"River","BodyOfWater Location NaturalPlace Place Stream"
"Road","ArchitecturalStructure Infrastructure Location Place RouteOfTransportation"
"RoadJunction","ArchitecturalStructure Infrastructure Location Place RouteOfTransportation"
"RoadTunnel","ArchitecturalStructure Infrastructure Location Place RouteOfTransportation"
"Rocket","MeanOfTransportation"
"RocketEngine","Device Engine"
"RollerCoaster","AmusementParkAttraction ArchitecturalStructure Location Place"
"RomanEmperor","Person"
"RouteOfTransportation","ArchitecturalStructure Infrastructure Location Place"
"RouteStop",""
"Rower","Athlete Person"
"Royalty","Person"
"RugbyClub","Organisation SportsTeam"
"RugbyLeague","Organisation SportsLeague"
"RugbyPlayer","Athlete Person"
"Saint","Cleric Person"
"Sales","Activity Case LegalCase UnitOfWork"
"SambaSchool","Organisation"
"Satellite","CelestialBody Location Place"
"School","EducationalInstitution Organisation"
"ScientificConcept","Genre GovernmentType MusicGenre TopicalConcept Type"
"Scientist","Person"
"ScreenWriter","Person Writer"
"Sculptor","Artist Person"
"Sculpture","Artwork Work"
"Sea","BodyOfWater Location NaturalPlace Place"
"Senator","Person Politician"
"SerialKiller","Criminal Murderer Person"
"Settlement","Location Place PopulatedPlace"
"Ship","Aircraft Automobile Locomotive MeanOfTransportation MilitaryVehicle"
"ShoppingMall","ArchitecturalStructure Building Location Place"
"Shrine","ArchitecturalStructure Building Location Place ReligiousBuilding"
"Singer","Artist MusicalArtist Person"
"Single","MusicalWork Work"
"SiteOfSpecialScientificInterest","Location Place"
"Skater","Athlete Person WinterSportPlayer"
"SkiArea","ArchitecturalStructure Location Place SportFacility"
"SkiResort","ArchitecturalStructure Location Place SkiArea SportFacility"
"Ski_jumper","Athlete Person WinterSportPlayer"
"Skier","Athlete Person WinterSportPlayer"
"Skyscraper","ArchitecturalStructure Building Location Place"
"SnookerChamp","Athlete Person SnookerPlayer"
"SnookerPlayer","Athlete Person"
"SnookerWorldRanking","SportCompetitionResult"
"SoapCharacter","FictionalCharacter Person"
"Soccer","Activity Sport TeamSport"
"SoccerClub","Organisation SportsTeam"
"SoccerClubSeason","SportsSeason SportsTeamSeason"
"SoccerLeague","Organisation SportsLeague"
"SoccerLeagueSeason","SportsSeason SportsTeamSeason"
"SoccerManager","Person SportsManager"
"SoccerPlayer","Athlete Person"
"SoccerTournament","Event PenaltyShootOut SocietalEvent SportsEvent Tournament"
"SocietalEvent","Event PenaltyShootOut"
"SoftballLeague","Organisation SportsLeague"
"Software","Work"
"SolarEclipse","Event NaturalEvent PenaltyShootOut"
"Song","MusicalWork Work"
"SongWriter","Person Writer"
"Sound","Document Work"
"SpaceMission","Event PenaltyShootOut SocietalEvent"
"SpaceShuttle","MeanOfTransportation"
"SpaceStation","MeanOfTransportation"
"Spacecraft","MeanOfTransportation"
"Species",""
"SpeedSkater","Athlete Person WinterSportPlayer"
"SpeedwayLeague","Organisation SportsLeague"
"SpeedwayRider","Athlete MotorcycleRider MotorsportRacer Person"
"SpeedwayTeam","Organisation SportsTeam"
"Sport","Activity"
"SportCompetitionResult",""
"SportFacility","ArchitecturalStructure Location Place"
"SportsClub","Organisation"
"SportsEvent","Event PenaltyShootOut SocietalEvent"
"SportsLeague","Organisation"
"SportsManager","Person"
"SportsSeason",""
"SportsTeam","Organisation"
"SportsTeamMember","OrganisationMember Person"
"SportsTeamSeason","SportsSeason"
"Square","ArchitecturalStructure Location Place"
"SquashPlayer","Athlete Person"
"Stadium","ArchitecturalStructure Arena Location Place SportFacility"
"Standard","Genre GovernmentType MusicGenre TopicalConcept Type"
"Star","CelestialBody Location Place"
"State","Location Place PopulatedPlace"
"StatedResolution","Work WrittenWork"
"Station","ArchitecturalStructure Infrastructure Location Place"
"Statistic",""
"StillImage","Document Image Work"
"StormSurge","Event NaturalEvent PenaltyShootOut"
